,id,i,rtt,loss,congestion,noise,changepoint,ddos
0,0,0,29.445,0,0,0,0,0
1,0,0,0.0,1,0,0,0,1
2,0,0,36.0,0,1,0,1,1
3,0,0,724.0,0,0,1,1,0
4,0,1,29.688,0,0,0,1,0
5,0,1,0.0,1,0,0,0,1
6,0,1,42.0,0,1,0,1,1
7,0,1,559.0,0,0,1,1,0
8,0,2,32.005,0,1,0,1,1
9,0,2,0.0,1,0,0,0,1
10,0,2,40.0,0,1,0,1,1
11,0,2,616.0,0,0,1,1,0
12,0,3,26.295,0,0,0,1,0
13,0,3,0.0,1,0,0,0,1
14,0,3,42.0,0,1,0,1,1
15,0,3,565.0,0,0,1,1,0
16,0,4,32.008,0,1,0,1,1
17,0,4,0.0,1,0,0,0,1
18,0,4,36.0,0,1,0,1,1
19,0,4,666.0,0,0,1,1,0
20,0,5,27.533,0,0,0,1,0
21,0,5,0.0,1,0,0,0,1
22,0,5,32.0,0,1,0,1,1
23,0,5,619.0,0,0,1,1,0
24,0,6,25.089,0,0,0,1,0
25,0,6,0.0,1,0,0,0,1
26,0,6,40.0,0,1,0,1,1
27,0,6,632.0,0,0,1,1,0
28,0,7,23.075,0,0,0,1,0
29,0,7,0.0,1,0,0,0,1
30,0,7,34.0,0,1,0,1,1
31,0,7,644.0,0,0,1,1,0
32,0,8,26.082,0,0,0,1,0
33,0,8,0.0,1,0,0,0,1
34,0,8,37.0,0,1,0,1,1
35,0,8,696.0,0,0,1,1,0
36,0,9,25.089,0,0,0,1,0
37,0,9,0.0,1,0,0,0,1
38,0,9,32.0,0,1,0,1,1
39,0,9,694.0,0,0,1,1,0
40,0,10,24.206,0,0,0,1,0
41,0,10,0.0,1,0,0,0,1
42,0,10,34.0,0,1,0,1,1
43,0,10,546.0,0,0,1,1,0
44,0,11,24.355,0,0,0,1,0
45,0,11,0.0,1,0,0,0,1
46,0,11,37.0,0,1,0,1,1
47,0,11,702.0,0,0,1,1,0
48,0,12,24.511,0,0,0,1,0
49,0,12,0.0,1,0,0,0,1
50,0,12,35.0,0,1,0,1,1
51,0,12,674.0,0,0,1,1,0
52,0,13,24.508000000000006,0,0,0,1,0
53,0,13,0.0,1,0,0,0,1
54,0,13,41.0,0,1,0,1,1
55,0,13,565.0,0,0,1,1,0
56,0,14,23.053,0,0,0,1,0
57,0,14,0.0,1,0,0,0,1
58,0,14,30.0,0,1,0,1,1
59,0,14,602.0,0,0,1,1,0
60,0,15,25.868,0,0,0,1,0
61,0,15,0.0,1,0,0,0,1
62,0,15,35.0,0,1,0,1,1
63,0,15,633.0,0,0,1,1,0
64,0,16,24.401,0,0,0,1,0
65,0,16,0.0,1,0,0,0,1
66,0,16,30.0,0,1,0,1,1
67,0,16,603.0,0,0,1,1,0
68,0,17,25.689,0,0,0,1,0
69,0,17,0.0,1,0,0,0,1
70,0,17,44.0,0,1,0,1,1
71,0,17,714.0,0,0,1,1,0
72,0,18,31.143,0,1,0,1,1
73,0,18,0.0,1,0,0,0,1
74,0,18,41.0,0,1,0,1,1
75,0,18,559.0,0,0,1,1,0
76,0,19,31.689,0,1,0,1,1
77,0,19,0.0,1,0,0,0,1
78,0,19,43.0,0,1,0,1,1
79,0,19,719.0,0,0,1,1,0
80,0,20,28.749,0,0,0,1,0
81,0,20,0.0,1,0,0,0,1
82,0,20,43.0,0,1,0,1,1
83,0,20,595.0,0,0,1,1,0
84,0,21,30.52,0,1,0,1,1
85,0,21,0.0,1,0,0,0,1
86,0,21,41.0,0,1,0,1,1
87,0,21,599.0,0,0,1,1,0
88,0,22,30.618,0,1,0,1,1
89,0,22,0.0,1,0,0,0,1
90,0,22,33.0,0,1,0,1,1
91,0,22,608.0,0,0,1,1,0
92,0,23,30.719,0,1,0,1,1
93,0,23,0.0,1,0,0,0,1
94,0,23,38.0,0,1,0,1,1
95,0,23,675.0,0,0,1,1,0
96,0,24,31.686,0,1,0,1,1
97,0,24,0.0,1,0,0,0,1
98,0,24,34.0,0,1,0,1,1
99,0,24,595.0,0,0,1,1,0
100,0,25,24.53,0,0,0,1,0
101,0,25,0.0,1,0,0,0,1
102,0,25,36.0,0,1,0,1,1
103,0,25,565.0,0,0,1,1,0
104,0,26,26.855,0,0,0,1,0
105,0,26,0.0,1,0,0,0,1
106,0,26,38.0,0,1,0,1,1
107,0,26,711.0,0,0,1,1,0
108,0,27,27.295,0,0,0,1,0
109,0,27,0.0,1,0,0,0,1
110,0,27,31.0,0,1,0,1,1
111,0,27,676.0,0,0,1,1,0
112,0,28,26.849,0,0,0,1,0
113,0,28,0.0,1,0,0,0,1
114,0,28,38.0,0,1,0,1,1
115,0,28,604.0,0,0,1,1,0
116,0,29,23.438,0,0,0,1,0
117,0,29,0.0,1,0,0,0,1
118,0,29,43.0,0,1,0,1,1
119,0,29,553.0,0,0,1,1,0
120,0,30,27.164,0,0,0,1,0
121,0,30,0.0,1,0,0,0,1
122,0,30,39.0,0,1,0,1,1
123,0,30,597.0,0,0,1,1,0
124,0,31,26.328000000000007,0,0,0,1,0
125,0,31,0.0,1,0,0,0,1
126,0,31,31.0,0,1,0,1,1
127,0,31,628.0,0,0,1,1,0
128,0,32,25.989,0,0,0,1,0
129,0,32,0.0,1,0,0,0,1
130,0,32,41.0,0,1,0,1,1
131,0,32,655.0,0,0,1,1,0
132,0,33,26.833,0,0,0,1,0
133,0,33,0.0,1,0,0,0,1
134,0,33,41.0,0,1,0,1,1
135,0,33,716.0,0,0,1,1,0
136,0,34,28.443,0,0,0,1,0
137,0,34,0.0,1,0,0,0,1
138,0,34,42.0,0,1,0,1,1
139,0,34,552.0,0,0,1,1,0
140,0,35,26.61,0,0,0,1,0
141,0,35,0.0,1,0,0,0,1
142,0,35,44.0,0,1,0,1,1
143,0,35,579.0,0,0,1,1,0
144,0,36,34.128,0,1,0,1,1
145,0,36,0.0,1,0,0,0,1
146,0,36,43.0,0,1,0,1,1
147,0,36,625.0,0,0,1,1,0
148,0,37,30.471,0,1,0,1,1
149,0,37,0.0,1,0,0,0,1
150,0,37,33.0,0,1,0,1,1
151,0,37,594.0,0,0,1,1,0
152,0,38,32.828,0,1,0,1,1
153,0,38,0.0,1,0,0,0,1
154,0,38,37.0,0,1,0,1,1
155,0,38,676.0,0,0,1,1,0
156,0,39,31.839,0,1,0,1,1
157,0,39,0.0,1,0,0,0,1
158,0,39,31.0,0,1,0,1,1
159,0,39,678.0,0,0,1,1,0
160,0,40,24.875,0,0,0,1,0
161,0,40,0.0,1,0,0,0,1
162,0,40,35.0,0,1,0,1,1
163,0,40,650.0,0,0,1,1,0
164,0,41,31.03,0,1,0,1,1
165,0,41,0.0,1,0,0,0,1
166,0,41,33.0,0,1,0,1,1
167,0,41,598.0,0,0,1,1,0
168,0,42,41.457,0,1,0,1,1
169,0,42,0.0,1,0,0,0,1
170,0,42,42.0,0,1,0,1,1
171,0,42,690.0,0,0,1,1,0
172,0,43,29.771,0,0,0,1,0
173,0,43,0.0,1,0,0,0,1
174,0,43,39.0,0,1,0,1,1
175,0,43,588.0,0,0,1,1,0
176,0,44,28.797,0,0,0,1,0
177,0,44,0.0,1,0,0,0,1
178,0,44,31.0,0,1,0,1,1
179,0,44,558.0,0,0,1,1,0
180,0,45,23.621,0,0,0,1,0
181,0,45,0.0,1,0,0,0,1
182,0,45,44.0,0,1,0,1,1
183,0,45,592.0,0,0,1,1,0
184,0,46,24.559,0,0,0,1,0
185,0,46,0.0,1,0,0,0,1
186,0,46,44.0,0,1,0,1,1
187,0,46,584.0,0,0,1,1,0
188,0,47,23.728,0,0,0,1,0
189,0,47,0.0,1,0,0,0,1
190,0,47,34.0,0,1,0,1,1
191,0,47,626.0,0,0,1,1,0
192,0,48,25.818,0,0,0,1,0
193,0,48,0.0,1,0,0,0,1
194,0,48,44.0,0,1,0,1,1
195,0,48,597.0,0,0,1,1,0
196,0,49,26.068,0,0,0,1,0
197,0,49,0.0,1,0,0,0,1
198,0,49,37.0,0,1,0,1,1
199,0,49,698.0,0,0,1,1,0
200,0,50,23.861,0,0,0,1,0
201,0,50,0.0,1,0,0,0,1
202,0,50,38.0,0,1,0,1,1
203,0,50,668.0,0,0,1,1,0
204,0,51,26.848000000000006,0,0,0,1,0
205,0,51,0.0,1,0,0,0,1
206,0,51,42.0,0,1,0,1,1
207,0,51,585.0,0,0,1,1,0
208,0,52,28.954,0,0,0,1,0
209,0,52,0.0,1,0,0,0,1
210,0,52,42.0,0,1,0,1,1
211,0,52,559.0,0,0,1,1,0
212,0,53,26.764,0,0,0,1,0
213,0,53,0.0,1,0,0,0,1
214,0,53,42.0,0,1,0,1,1
215,0,53,609.0,0,0,1,1,0
216,0,54,24.764,0,0,0,1,0
217,0,54,0.0,1,0,0,0,1
218,0,54,38.0,0,1,0,1,1
219,0,54,615.0,0,0,1,1,0
220,0,55,23.037,0,0,0,1,0
221,0,55,0.0,1,0,0,0,1
222,0,55,38.0,0,1,0,1,1
223,0,55,632.0,0,0,1,1,0
224,0,56,25.171,0,0,0,1,0
225,0,56,0.0,1,0,0,0,1
226,0,56,30.0,0,1,0,1,1
227,0,56,680.0,0,0,1,1,0
228,0,57,26.914,0,0,0,1,0
229,0,57,0.0,1,0,0,0,1
230,0,57,37.0,0,1,0,1,1
231,0,57,607.0,0,0,1,1,0
232,0,58,71.145,0,0,1,1,0
233,0,58,0.0,1,0,0,0,1
234,0,58,40.0,0,1,0,1,1
235,0,58,625.0,0,0,1,1,0
236,0,59,23.829,0,0,0,1,0
237,0,59,0.0,1,0,0,0,1
238,0,59,37.0,0,1,0,1,1
239,0,59,707.0,0,0,1,1,0
240,0,60,27.889,0,0,0,1,0
241,0,60,0.0,1,0,0,0,1
242,0,60,32.0,0,1,0,1,1
243,0,60,577.0,0,0,1,1,0
244,0,61,24.673,0,0,0,1,0
245,0,61,0.0,1,0,0,0,1
246,0,61,40.0,0,1,0,1,1
247,0,61,549.0,0,0,1,1,0
248,0,62,27.242,0,0,0,1,0
249,0,62,0.0,1,0,0,0,1
250,0,62,39.0,0,1,0,1,1
251,0,62,585.0,0,0,1,1,0
252,0,63,32.458,0,1,0,1,1
253,0,63,0.0,1,0,0,0,1
254,0,63,41.0,0,1,0,1,1
255,0,63,679.0,0,0,1,1,0
256,0,64,26.916,0,0,0,1,0
257,0,64,0.0,1,0,0,0,1
258,0,64,38.0,0,1,0,1,1
259,0,64,616.0,0,0,1,1,0
260,0,65,24.296,0,0,0,1,0
261,0,65,0.0,1,0,0,0,1
262,0,65,41.0,0,1,0,1,1
263,0,65,706.0,0,0,1,1,0
264,0,66,27.001,0,0,0,1,0
265,0,66,0.0,1,0,0,0,1
266,0,66,30.0,0,1,0,1,1
267,0,66,592.0,0,0,1,1,0
268,0,67,27.008000000000006,0,0,0,1,0
269,0,67,0.0,1,0,0,0,1
270,0,67,36.0,0,1,0,1,1
271,0,67,695.0,0,0,1,1,0
272,0,68,23.437,0,0,0,1,0
273,0,68,0.0,1,0,0,0,1
274,0,68,43.0,0,1,0,1,1
275,0,68,581.0,0,0,1,1,0
276,0,69,36.046,0,1,0,1,1
277,0,69,0.0,1,0,0,0,1
278,0,69,32.0,0,1,0,1,1
279,0,69,716.0,0,0,1,1,0
280,0,70,37.448,0,1,0,1,1
281,0,70,0.0,1,0,0,0,1
282,0,70,37.0,0,1,0,1,1
283,0,70,579.0,0,0,1,1,0
284,0,71,26.61,0,0,0,1,0
285,0,71,0.0,1,0,0,0,1
286,0,71,30.0,0,1,0,1,1
287,0,71,645.0,0,0,1,1,0
288,0,72,24.978,0,0,0,1,0
289,0,72,0.0,1,0,0,0,1
290,0,72,44.0,0,1,0,1,1
291,0,72,675.0,0,0,1,1,0
292,0,73,25.428,0,0,0,1,0
293,0,73,0.0,1,0,0,0,1
294,0,73,30.0,0,1,0,1,1
295,0,73,549.0,0,0,1,1,0
296,0,74,30.571,0,1,0,1,1
297,0,74,0.0,1,0,0,0,1
298,0,74,39.0,0,1,0,1,1
299,0,74,686.0,0,0,1,1,0
300,0,75,27.416,0,0,0,1,0
301,0,75,0.0,1,0,0,0,1
302,0,75,36.0,0,1,0,1,1
303,0,75,571.0,0,0,1,1,0
304,0,76,27.863000000000003,0,0,0,1,0
305,0,76,0.0,1,0,0,0,1
306,0,76,38.0,0,1,0,1,1
307,0,76,559.0,0,0,1,1,0
308,0,77,26.621,0,0,0,1,0
309,0,77,0.0,1,0,0,0,1
310,0,77,39.0,0,1,0,1,1
311,0,77,586.0,0,0,1,1,0
312,0,78,28.853,0,0,0,1,0
313,0,78,0.0,1,0,0,0,1
314,0,78,41.0,0,1,0,1,1
315,0,78,723.0,0,0,1,1,0
316,0,79,28.528,0,0,0,1,0
317,0,79,0.0,1,0,0,0,1
318,0,79,44.0,0,1,0,1,1
319,0,79,640.0,0,0,1,1,0
320,0,80,29.872,0,0,0,1,0
321,0,80,0.0,1,0,0,0,1
322,0,80,36.0,0,1,0,1,1
323,0,80,596.0,0,0,1,1,0
324,0,81,25.333,0,0,0,1,0
325,0,81,0.0,1,0,0,0,1
326,0,81,42.0,0,1,0,1,1
327,0,81,640.0,0,0,1,1,0
328,0,82,27.073,0,0,0,1,0
329,0,82,0.0,1,0,0,0,1
330,0,82,33.0,0,1,0,1,1
331,0,82,695.0,0,0,1,1,0
332,0,83,24.917,0,0,0,1,0
333,0,83,0.0,1,0,0,0,1
334,0,83,36.0,0,1,0,1,1
335,0,83,687.0,0,0,1,1,0
336,0,84,24.941,0,0,0,1,0
337,0,84,0.0,1,0,0,0,1
338,0,84,40.0,0,1,0,1,1
339,0,84,573.0,0,0,1,1,0
340,0,85,24.43,0,0,0,1,0
341,0,85,0.0,1,0,0,0,1
342,0,85,33.0,0,1,0,1,1
343,0,85,557.0,0,0,1,1,0
344,0,86,23.332,0,0,0,1,0
345,0,86,0.0,1,0,0,0,1
346,0,86,36.0,0,1,0,1,1
347,0,86,630.0,0,0,1,1,0
348,0,87,24.072,0,0,0,1,0
349,0,87,0.0,1,0,0,0,1
350,0,87,41.0,0,1,0,1,1
351,0,87,610.0,0,0,1,1,0
352,0,88,23.709,0,0,0,1,0
353,0,88,0.0,1,0,0,0,1
354,0,88,39.0,0,1,0,1,1
355,0,88,589.0,0,0,1,1,0
356,0,89,24.659,0,0,0,1,0
357,0,89,0.0,1,0,0,0,1
358,0,89,43.0,0,1,0,1,1
359,0,89,678.0,0,0,1,1,0
360,0,90,25.226,0,0,0,1,0
361,0,90,0.0,1,0,0,0,1
362,0,90,41.0,0,1,0,1,1
363,0,90,572.0,0,0,1,1,0
364,0,91,23.787,0,0,0,1,0
365,0,91,0.0,1,0,0,0,1
366,0,91,41.0,0,1,0,1,1
367,0,91,588.0,0,0,1,1,0
368,0,92,25.096,0,0,0,1,0
369,0,92,0.0,1,0,0,0,1
370,0,92,33.0,0,1,0,1,1
371,0,92,574.0,0,0,1,1,0
372,0,93,24.103,0,0,0,1,0
373,0,93,0.0,1,0,0,0,1
374,0,93,43.0,0,1,0,1,1
375,0,93,619.0,0,0,1,1,0
376,0,94,24.328000000000007,0,0,0,1,0
377,0,94,0.0,1,0,0,0,1
378,0,94,39.0,0,1,0,1,1
379,0,94,636.0,0,0,1,1,0
380,0,95,23.958,0,0,0,1,0
381,0,95,0.0,1,0,0,0,1
382,0,95,38.0,0,1,0,1,1
383,0,95,673.0,0,0,1,1,0
384,0,96,23.135,0,0,0,1,0
385,0,96,0.0,1,0,0,0,1
386,0,96,38.0,0,1,0,1,1
387,0,96,571.0,0,0,1,1,0
388,0,97,23.576,0,0,0,1,0
389,0,97,0.0,1,0,0,0,1
390,0,97,43.0,0,1,0,1,1
391,0,97,665.0,0,0,1,1,0
392,0,98,23.821,0,0,0,1,0
393,0,98,0.0,1,0,0,0,1
394,0,98,33.0,0,1,0,1,1
395,0,98,547.0,0,0,1,1,0
396,0,99,23.759,0,0,0,1,0
397,0,99,0.0,1,0,0,0,1
398,0,99,36.0,0,1,0,1,1
399,0,99,699.0,0,0,1,1,0
400,0,100,23.905,0,0,0,1,0
401,0,100,0.0,1,0,0,0,1
402,0,100,38.0,0,1,0,1,1
403,0,100,606.0,0,0,1,1,0
404,0,101,23.043000000000006,0,0,0,1,0
405,0,101,0.0,1,0,0,0,1
406,0,101,34.0,0,1,0,1,1
407,0,101,595.0,0,0,1,1,0
408,0,102,24.426,0,0,0,1,0
409,0,102,0.0,1,0,0,0,1
410,0,102,39.0,0,1,0,1,1
411,0,102,716.0,0,0,1,1,0
412,0,103,23.703000000000007,0,0,0,1,0
413,0,103,0.0,1,0,0,0,1
414,0,103,37.0,0,1,0,1,1
415,0,103,603.0,0,0,1,1,0
416,0,104,34.979,0,1,0,1,1
417,0,104,0.0,1,0,0,0,1
418,0,104,35.0,0,1,0,1,1
419,0,104,704.0,0,0,1,1,0
420,0,105,25.839,0,0,0,1,0
421,0,105,0.0,1,0,0,0,1
422,0,105,37.0,0,1,0,1,1
423,0,105,724.0,0,0,1,1,0
424,0,106,26.657,0,0,0,1,0
425,0,106,0.0,1,0,0,0,1
426,0,106,30.0,0,1,0,1,1
427,0,106,606.0,0,0,1,1,0
428,0,107,34.994,0,1,0,1,1
429,0,107,0.0,1,0,0,0,1
430,0,107,30.0,0,1,0,1,1
431,0,107,596.0,0,0,1,1,0
432,0,108,35.262,0,1,0,1,1
433,0,108,0.0,1,0,0,0,1
434,0,108,41.0,0,1,0,1,1
435,0,108,583.0,0,0,1,1,0
436,0,109,35.559,0,1,0,1,1
437,0,109,0.0,1,0,0,0,1
438,0,109,31.0,0,1,0,1,1
439,0,109,675.0,0,0,1,1,0
440,0,110,33.618,0,1,0,1,1
441,0,110,0.0,1,0,0,0,1
442,0,110,30.0,0,1,0,1,1
443,0,110,645.0,0,0,1,1,0
444,0,111,25.494,0,0,0,1,0
445,0,111,0.0,1,0,0,0,1
446,0,111,30.0,0,1,0,1,1
447,0,111,625.0,0,0,1,1,0
448,0,112,35.097,0,1,0,1,1
449,0,112,0.0,1,0,0,0,1
450,0,112,40.0,0,1,0,1,1
451,0,112,657.0,0,0,1,1,0
452,0,113,25.78,0,0,0,1,0
453,0,113,0.0,1,0,0,0,1
454,0,113,31.0,0,1,0,1,1
455,0,113,674.0,0,0,1,1,0
456,0,114,25.946,0,0,0,1,0
457,0,114,0.0,1,0,0,0,1
458,0,114,41.0,0,1,0,1,1
459,0,114,598.0,0,0,1,1,0
460,0,115,24.941,0,0,0,1,0
461,0,115,0.0,1,0,0,0,1
462,0,115,36.0,0,1,0,1,1
463,0,115,673.0,0,0,1,1,0
464,0,116,24.59,0,0,0,1,0
465,0,116,0.0,1,0,0,0,1
